,x,y,label
0,-5.081790488467112,0.5911168430428355,0
1,-4.699378200179069,-9.04288749654265,1
2,-1.9230273706830647,-8.57974039210777,1
3,-4.029422928503108,-8.111564601037218,1
4,-2.675473467079225,-8.996438376929829,1
5,-3.111132716274869,-6.975545183111369,1
6,-2.104839711885071,0.4027924614285987,0
7,-4.316623183777097,0.008782430045986445,0
8,-5.0100473059382615,-9.176463163578356,1
9,-4.605276327677783,-8.951738698297891,1
10,-3.770424606839688,-9.276668607437221,1
11,-2.4135066623123187,-9.62229013709181,1
12,-4.322693164878899,-8.044626309254866,1
13,-5.469727098836467,-1.1518555622247668,0
14,-3.1312941155759133,-8.262418652928352,1
15,-6.0206418896471465,-1.103339628598314,0
16,-5.343363712132015,-2.004724561860952,0
17,-4.037280574178603,-1.9121926539312109,0
18,-2.252547992833768,-8.386029889648238,1
19,-3.732543678511706,-0.8675518291093881,0
20,-2.566078170540217,-8.848958287218672,1
21,-4.5689342204686865,-1.339331302824669,0
22,-4.266066613996441,-8.051984013041254,1
23,-4.0157792496711275,-2.0227046561121145,0
24,-4.557942284563188,-10.874216663981542,1
25,-2.998286430483272,-8.155881634168344,1
26,-4.188084455535078,-6.049849246328945,1
27,-4.833116579147124,-6.739952743075715,1
28,-4.408567948414915,-1.562854146988224,0
29,-4.066526254513359,-1.319056688207436,0
30,-6.18315584168294,-6.425598795114155,1
31,-3.733973403778219,-0.5770479388772922,0
32,-3.7850152168086284,1.0591112161327283,0
33,-5.748247172955945,-0.245861747765309,0
34,-3.6858243270732816,-9.17579990577906,1
35,-3.9827188066675987,-10.591216458649077,1
36,-5.273201614431462,-6.798341526861493,1
37,-5.587844250309995,-0.9079767299628887,0
38,-1.0886274612428015,-8.529231546050777,1
39,-2.1058279244141023,-8.599234875125296,1
40,-2.0795645622294017,-7.945861933681119,1
41,-2.444568949068838,-9.790681501232468,1
42,-2.5028554024691423,-7.78280542994965,1
43,-3.2001815233708713,-7.975854898480906,1
44,-3.9998294846134854,-8.033909713271715,1
45,-3.6590206681187496,-8.916362849318224,1
46,-3.859903904847618,-10.17666550840784,1
47,-3.029545028808343,-0.8176097905105693,0
48,-4.597954844545544,-8.396508569534424,1
49,-3.786609526834872,-7.97583206867769,1
50,-3.786497026376716,-1.3008992350397248,0
51,-4.695796467777631,-7.708403300488283,1
52,-4.784321706529202,-0.8979412081017539,0
53,-3.5167909228739633,-8.877030129593193,1
54,-3.5545035504182465,-9.351421445574584,1
55,-4.09183869720048,-9.247494326636039,1
56,-7.06024113392392,-0.45290912218002133,0
57,-4.022408593194331,-8.241567719546026,1
58,-4.448739711370928,-0.16009877869421918,0
59,-5.14896015032069,-1.0801428936035686,0
60,-1.9944959808863174,-9.527602646692971,1
61,-4.546597560989484,-6.983985717864611,1
62,-3.2435643275318147,0.2735679746568185,0
63,-3.0971885496980316,-5.654430003477371,1
64,-4.7709356228331625,-1.7867767521060292,0
65,-4.549315557092659,-9.336708052258963,1
66,-4.404021629979003,-1.1769406147842048,0
67,-3.3255361300349673,-1.4330177164723965,0
68,-2.534934411034872,-7.536092123390535,1
69,-5.3413965762042634,-7.099958822393685,1
70,-3.0885679420001253,-8.721516365483959,1
71,-4.00757135082136,-2.074826489173435,0
72,-4.10149890562766,-8.31862007410812,1
73,-0.5013168746059811,-7.889108328431585,1
74,-4.226133086276459,-1.8802979264878394,0
75,-2.91039048481004,-7.864969139368151,1
76,-2.730643850764671,-2.250831910184094,0
77,-4.4553600795407355,-1.0024176209097906,0
78,-2.1597001921734,-7.509977646367502,1
79,-4.6085537406826855,-0.9211275454694643,0
80,-3.7378268572629314,-9.5876919019712,1
81,-4.716293232310614,-1.6226872743125853,0
82,-3.232693958623504,-7.802403376308839,1
83,-6.074711446679249,0.5765491714194331,0
84,-5.441813717469891,-0.7196488907860243,0
85,-3.1147350358867367,-8.739167660297033,1
86,-4.783957880963476,0.20220676178903862,0
87,-2.7504520545239943,-8.879173749245032,1
88,-2.6409940932767606,-8.512661971662686,1
89,-6.223240418251388,-2.783807108054569,0
90,-2.4379282523802606,-0.11079817743301446,0
91,-5.573664368558575,-1.133369757058988,0
92,-5.326427306176162,-6.922051162235092,1
93,-1.1950817704522554,-6.72923239524347,1
94,-4.860365395564017,-0.574935999167691,0
95,-4.154616481773785,-0.29475761050708715,0
96,-2.398178296566728,-10.744822004357674,1
97,-4.252312846425954,-9.617280127046566,1
98,-4.461428095428662,0.07890408742019317,0
99,-4.402427496023868,-9.945698557476597,1
100,-3.4050590919962893,-8.38918821986343,1
101,-5.3213594338310966,-0.9018832342002803,0
102,-5.188372196298524,-3.1343016869740743,0
103,-3.3235746807055087,-1.5647878782272102,0
104,-3.3164145573678563,-10.713647786319967,1
105,-2.506629208938867,-8.821811312687503,1
106,-3.7771503344585846,-8.661237068715693,1
107,-4.913335424397077,-8.646841090062589,1
108,-2.7603385679716723,-7.6303673424028275,1
109,-3.737677547751734,-0.9694454750233311,0
110,-0.8997129293587154,-8.901523373139081,1
111,-3.7363690896750996,0.41335043045392683,0
112,-4.934425237977259,-1.0184075804515373,0
113,-5.147582010502101,-1.972846854280819,0
114,-2.985269322000097,-8.227483215510258,1
115,-5.812978008333392,-1.7351884727962625,0
116,-4.640412127763173,-8.110473397951408,1
117,-4.9191347933039395,-8.565644169431845,1
118,-3.741894148414122,-8.687990850476565,1
119,-3.296778167989956,-7.434482156611076,1
120,-4.155827840879856,-8.719329504239111,1
121,-2.4571274597233588,-0.8609506818355881,0
122,-2.284571605251255,-8.54452590486912,1
123,-4.9611707454288565,-2.405600960871248,0
124,-5.601922526177249,-1.0651639809365778,0
125,-4.693504922326997,-1.0972121412528906,0
126,-2.832081448609457,-8.070451884512204,1
127,-3.3009707878282017,-8.724725828161162,1
128,-5.015960643137699,-8.47983241646451,1
129,-4.5551684560312315,-7.393841962832309,1
130,-2.0223418355907805,-7.614107806580051,1
131,-3.512769256784972,-1.210552327481113,0
132,-4.293911734874437,-9.48335514381732,1
133,-2.65332028539083,-9.034864703475536,1
134,-5.3686059992070305,-1.4936464248666537,0
135,-4.545241593900045,-0.8533501478580532,0
136,-4.597011982395876,-2.678425341425866,0
137,-3.477064831373981,-9.03318712788633,1
138,-2.8403163042623345,-8.186387795113596,1
139,-3.5106294836469187,-7.099551897746589,1
140,-5.591553450119569,-0.791616255670309,0
141,-4.62726067792674,-9.1698432773093,1
142,-3.907154694337473,-9.743290453844702,1
143,-4.003553075679813,-1.1009298654701212,0
144,-5.27001111706875,-1.260960318900103,0
145,-5.878965634656394,-1.889867875381254,0
146,-2.6579232475867403,-9.468834016146298,1
147,-3.4356483163213873,-1.4341657054909847,0
148,-3.906836113370496,-0.6193899401181662,0
149,-2.1312167853638755,-8.447980782206628,1
150,-2.668347213288021,-0.6124699109274672,0
151,-2.847591036058125,-7.549167164944555,1
152,-3.4620643016673873,-0.40961048038812187,0
153,-4.996854950785889,-2.0753352964281087,0
154,-4.095313560718118,0.5271739065559822,0
155,-4.341775722888267,-0.8585515015280459,0
156,-3.0933281376886477,-1.0776019696477082,0
157,-4.271875281331238,-9.085814478932388,1
158,-2.47433007917385,-6.736631357299236,1
159,-1.9508085081611861,-8.887867518587532,1
160,-3.8280118257884315,-2.144334769899853,0
161,-6.013484576589418,-0.9542980868546935,0
162,-3.201740440852891,-7.671398060348139,1
163,-4.053507551385461,-1.5247479873230099,0
164,-4.5941503492619,-1.136860812657584,0
165,-4.73524289361503,-0.5750869413861882,0
166,-1.0962027856635643,-7.902656126394543,1
167,-4.27939915587566,-7.473212520198709,1
168,-4.450317574228806,-7.4377901082575315,1
169,-3.8661872152667507,-8.360175498767335,1
170,-2.89744295763111,-7.553340907501854,1
171,-3.4574957614171713,-9.199102275715784,1
172,-4.282511050563546,-7.985646100752706,1
173,-2.6784473380326483,-7.603508449710185,1
174,-5.017617973489088,0.06549790004105382,0
175,-5.557324327027124,-0.005754412061163894,0
176,-6.586779866221054,0.036645184755482285,0
177,-3.8188970295523283,-9.043908059151297,1
178,-3.059792357062634,-1.4195560535617755,0
179,-5.5335826285244485,-1.7653176476680374,0
180,-5.103960593582765,-9.596620735701983,1
181,-2.1332525391728225,-7.3254056203636715,1
182,-5.910589691485982,-2.3226782932393535,0
