<<<<<<< HEAD
x,y,label
-6.587359549,4.108747446,0
-6.793428708,3.034685476,0
1.334425205,2.724908983,1
-0.76317745,3.374510585,1
-7.570533202,4.016081483,0
-6.92703832,3.919548437,0
-6.885351315,4.088841783,0
-0.56482101,2.749976832,1
1.241357733,1.548433243,1
-8.121441282,4.53642099,0
-5.720123428,4.763608055,0
-8.470052441,3.145428849,0
-6.696145121,3.902252453,0
-1.589809616,2.845538321,1
-0.112025053,2.869577027,1
-8.641536997,4.24368285,0
-6.598073658,4.40821102,0
-8.360933883,3.243156578,0
-6.188166595,5.054093181,0
0.518010123,-0.051336525,1
-8.070827239,3.840279788,0
0.741516854,2.722009387,1
1.678564831,2.135611673,1
-6.641511695,4.184977455,0
-8.739956688,3.25708704,0
-7.823582638,5.74772551,0
-6.329006114,3.161470676,0
-8.978782585,4.034647689,0
-7.196595861,5.982242881,0
-7.819197542,4.626276876,0
-8.455170876,4.592436237,0
-1.661869449,2.226159904,1
-7.514018747,4.91378597,0
-5.49278674,2.879831323,0
-1.212175217,3.123379871,1
-6.380375184,3.357685442,0
-6.388265987,6.157424583,0
-4.981358771,3.05573267,0
-7.436263864,4.509535914,0
0.060085854,2.186470837,1
-8.587883415,3.905987305,0
-6.253145411,3.131541755,0
0.045998013,0.883652364,1
-6.698626808,3.79605956,0
-7.060517759,4.111112165,0
-1.378822724,1.22822904,1
-7.543963767,4.81829902,0
-7.182800641,4.364114127,0
-9.472598075,4.74049876,0
0.640440453,3.77429446,1
-0.665495479,3.006195671,1
-0.657651186,2.017579694,1
-7.736019685,4.549911241,0
-0.381569276,2.453912555,1
-6.986744876,3.385789829,0
-8.440843567,3.163709766,0
-1.506517974,3.712412908,1
-1.16916919,2.242764021,1
-0.747689781,1.043485167,1
-7.388275912,4.421237062,0
0.446688298,-0.669032396,1
-0.240398406,2.141689812,1
-7.125461914,3.379954938,0
-6.910970235,4.44037803,0
0.755256037,2.414880139,1
-8.120113018,3.55916513,0
-0.179007798,0.766344937,1
0.906846622,1.675382256,1
-8.180462243,5.290662465,0
-8.6676463,4.566066566,0
-0.765753402,2.372189211,1
-0.726625444,0.517737269,1
-1.207955412,1.556058679,1
-8.557798519,3.653843917,0
-8.741102474,2.757296668,0
-8.844303639,4.269786619,0
-1.500915095,2.728116873,1
0.815383379,1.848988653,1
0.667818592,4.107695723,1
-8.244038692,6.053150099,0
-1.303273124,2.863222999,1
-5.331840048,4.035720641,0
-0.529776037,1.344110437,1
-8.005916053,5.168791909,0
-6.364587413,3.970103242,0
-1.002376875,3.170252432,1
-7.645218267,1.932448901,0
0.575589143,0.982714536,1
-8.519104325,3.841029469,0
0.196903504,2.061469094,1
-2.203910413,1.654820584,1
-7.913860791,4.372482778,0
-6.737467031,4.544251205,0
0.690518038,1.8520205,1
-5.293911316,3.451823854,0
-0.199401185,2.549981299,1
-1.356758585,2.854101731,1
-8.282389199,3.855474068,0
-5.28788631,3.534367008,0
-7.995910967,3.892133726,0
-0.24517585,1.072814798,1
-2.027043109,2.198045787,1
-8.916917304,3.379332118,0
-8.227769264,4.756993918,0
-6.694738198,2.586310403,0
-7.037401594,5.727331884,0
-1.088614495,3.173422178,1
0.562715065,2.469533609,1
-9.032172241,3.921845286,0
-0.272617432,2.211801037,1
-6.144317683,4.185808352,0
-1.013538252,2.185543921,1
-0.26082636,1.509038016,1
-1.545570199,1.183485743,1
-6.203527686,5.030768535,0
-6.081822956,5.188511553,0
-7.606975162,6.017608068,0
-6.638722411,4.504161462,0
-6.353661815,4.030934796,0
-7.248525112,4.799500157,0
-0.219505436,2.492218799,1
